Company,CEI_Score,Year
"3M Co. St. Paul, MN e ee ee  : 100",97.0,2013
"A.T. Kearney Inc. Chicago, IL e e e e e e e e",100.0,2013
"Aetna Inc. Hartford, CT e e e e e e e e 100",77.0,2013
"Alston Bird LLP Atlanta, GA e e e e e e e e",100.0,2013
"American Express Co. New York, NY e e e e e e e e 100",91.0,2013
"Apple Inc. Cupertino, CA e e e e e e e e 100",35.0,2013
"Arnold Porter LLP Washington, DC e e e e e e e e",100.0,2013
"ATT Inc. Dallas, TX e e e e e e e e 100",12.0,2013
"Bain Co. Inc./ Bridgespan Group Boston, MA e e e e e e e e",100.0,2013
"Baker McKenzie LLP Chicago, IL e e e e e e e e",100.0,2013
"Bank of America Corp. Charlotte, NC e e e e e e e e 100",9.0,2013
"Best Buy Co. Inc. Richfield, MN e e e e e e e e 100",47.0,2013
"BMO Bankcorp Inc. Chicago, IL e e e e e e e e",100.0,2013
"Boehringer Ingelheim USA Corp. Ridgefield, CT e e e e e e e e",100.0,2013
"Boston Consulting Group Boston, MA e e e e e e e e",100.0,2013
"Bryan Cave LLP Saint Louis, MO e e e e e e e e",100.0,2013
"Cadwalader, Wickersham Taft LLP New York, NY e e e e e e e e",100.0,2013
"Cardinal Health Inc. Dublin, OH ° ee ee  : 100",19.0,2013
"Cargill Inc. Wayzata, MN e e e e e e e e",100.0,2013
"Chapman and Cutler LLP Chicago, IL e e e e e e e e",100.0,2013
"Chevron Corp. San Ramon, CA e e e e e e e e 100",3.0,2013
"Choate, Hall Stewart LLP Boston, MA e e e e e e e e",100.0,2013
"Choice Hotels International Inc. Silver Spring, MD e e e e e e e e",100.0,2013
"Chrysler Group LLC Auburn Hills, MI e e e e e e e e 100",59.0,2013
"Cisco Systems Inc. San Jose, CA e e e e e e e e 100",62.0,2013
"Cleary, Gottlieb, Steen Hamilton LLP New York, NY e e e e e e e e",100.0,2013
"Clifford Chance US LLP New York, NY e e e e e e e e",100.0,2013
"Coca-Cola Co., The Atlanta, GA e e e e e e e e 100",70.0,2013
"Comcast Corp. Philadelphia, PA e e e e e e e e 100",66.0,2013
"Covington Burling LLP Washington, DC e e e e e e e e",100.0,2013
"Crowell Moring LLP Washington, DC e e e e e e e e",100.0,2013
"Dechert LLP Philadelphia, PA e e e e e e e e",100.0,2013
"Delhaize America Inc. Salisbury, NC e e e e e e e e",100.0,2013
"Deloitte LLP New York, NY e e e e e e e e",100.0,2013
"Depository Trust Clearing Corp., The New York, NY e e e e e e e e",100.0,2013
"Dewey LeBoeuf LLP New York, NY e e e e e e e e",100.0,2013
"Dickstein Shapiro LLP Washington, DC e e e e e e e e",100.0,2013
"Dorsey Whitney LLP Minneapolis, MN e e e e e e e e",100.0,2013
"Dow Chemical Co., The Midland, MI e e e e e e e e 100",45.0,2013
"EJ Gallo Winery Modesto, CA e e e e e e e e",100.0,2013
"Ernst Young LLP New York, NY e ee ee",100.0,2013
"Faegre Benson LLP Minneapolis, MN e e e e e e e e",100.0,2013
"Federal Home Loan Mortgage Corp. Freddie Mac McLean, VA e e e e e e e e 100",20.0,2013
"Ford Motor Co. Dearborn, MI e e e e e e e e 100",10.0,2013
"Fried, Frank, Harris, Shriver Jacobson LLP New York, NY e e e e e e e e",100.0,2013
"Genentech Inc. South San Francisco, CA e e e e e e e e",100.0,2013
"General Motors Co. Detroit, MI e e e e e e e e 100",8.0,2013
"Gibson, Dunn Crutcher LLP Los Angeles, CA e e e e e e e e",100.0,2013
"GlaxoSmithKline LLC Research Triange Park, NC e e e e e e e e",100.0,2013
"Goldman Sachs Group Inc., The New York, NY e e e e e e e e 100",54.0,2013
"Google Inc. Mountain View, CA e e e e e e e e 100",92.0,2013
"Group Health Cooperative Seattle, WA e e e e e e e e",100.0,2013
"Harvard Pilgrim Health Care Inc. Wellesley, MA e e e e e e e e",100.0,2013
"Herman Miller Inc. Zeeland, MI e e e e e e e e",100.0,2013
"Hewlett-Packard Co. Palo Alto, CA e e e e e e e e 100",11.0,2013
"Hinshaw Culbertson LLP Chicago, IL e e e e e e e e",100.0,2013
"Hogan Lovells US LLP Washington, DC e e e e e e e e",100.0,2013
"Hunton Williams LLP Richmond, VA e e e e e e e e",100.0,2013
"ING North America Insurance Corp. Atlanta, GA e e e e e e e e",100.0,2013
"International Business Machines Corp. IBM Armonk, NY e e e e e e e e 100",18.0,2013
"Jenner Block LLP Chicago, IL e e e e e e e e",100.0,2013
"JPMorgan Chase Co. New York, NY e e e e e e e e 100",13.0,2013
"KL Gates LLP Pittsburgh, PA e e e e e e e e",100.0,2013
"Katten Muchin Rosenman LLP Chicago, IL e e e e e e e e",100.0,2013
"Kimpton Hotel Restaurant Group Inc. San Francisco, CA e e e e e e e e",100.0,2013
"Kirkland Ellis LLP Chicago, IL e e e e e e e e",100.0,2013
"KPMG LLP New York, NY e e e e e e e e",100.0,2013
"Lockheed Martin Corp. Bethesda, MD e e e e e e e e 100",52.0,2013
"Mayer Brown LLP Chicago, IL e e e e e e e e",100.0,2013
"McDermott Will Emery LLP Chicago, IL e e e e e e e e",100.0,2013
"Merck Co. Inc. Whitehouse Station, NU e e e e e e e e 100",53.0,2013
"MetLife Inc. New York, NY e e e e e e e e 100",46.0,2013
"Microsoft Corp. Redmond, WA e e e e e e e e 100",38.0,2013
"Milbank, Tweed, Hadley McCloy LLP New York, NY e e e e e e e e",100.0,2013
"Mintz, Levin, Cohn, Ferris, Glovsky Popeo PC Boston, MA e e e e e e e e",100.0,2013
"Morgan Lewis Bockius LLP Philadelphia, PA e e e e e e e e",100.0,2013
"Morrison Foerster LLP San Francisco, CA e e e e e e e e",100.0,2013
"Navigant Consulting Inc. Chicago , IL e e e e e e e e",100.0,2013
"Nixon Peabody LLP Rochester, NY e e e e e e e e",100.0,2013
"Novartis Pharmaceuticals Corp. East Hanover, NJ e e e e e e e e",100.0,2013
"O'Melveny Myers LLP Los Angeles, CA e e e e e e e e",100.0,2013
"Oracle Corp. Redwood City, CA e e e e e e e e 100",96.0,2013
"Orbitz Worldwide Inc. Chicago, IL e e e e e e e e",100.0,2013
"Orrick, Herrington Sutcliffe LLP San Francisco, CA e e e e e e e e",100.0,2013
"Patterson Belknap Webb Tyler LLP New York, NY e e e e e e e e",100.0,2013
"Paul Hastings LLP Los Angeles, CA e e e e e e e e",100.0,2013
"PepsiCo Inc. Purchase, NY e e e e e e e e 100",43.0,2013
"Perkins Coie LLP Seattle, WA e e e e e e e e",100.0,2013
"Pillsbury Winthrop Shaw Pittman LLP New York, NY e e e e e e e e",100.0,2013
"PricewaterhouseCoopers LLP New York, NY e e e e e : e e e",100.0,2013
"Prudential Financial Inc. Newark, NJ e e e e e e e e 100",64.0,2013
"Robins, Kaplan, Miller Ciresi LLP Minneapolis, MN e e e e e e e e",100.0,2013
"S.C. Johnson Son Inc. Racine, WI e e e e e e e e",100.0,2013
"Schiff Hardin LLP Chicago, IL e e e e e e e e",100.0,2013
"Sears Holdings Corp. Hoffman Estates, IL e e e e e e e e 100",57.0,2013
"Sedgwick LLP San Francisco, CA e e e e e e e e",100.0,2013
"Seyfarth Shaw LLP Chicago, IL e e e e e e e e",100.0,2013
"Shearman Sterling LLP New York, NY e e e e e e e e",100.0,2013
"Sheppard, Mullin, Richter Hampton LLP Los Angeles, CA e e e e e e e e",100.0,2013
"Shook, Hardy Bacon LLP Kansas City, MO e e e e e e e e",100.0,2013
"Sidley Austin LLP Chicago, IL e e e e e e e e",100.0,2013
"Skadden, Arps, Slate, Meagher Flom LLP New York, NY e e e e e e e e",100.0,2013
"SNR Denton US LLP Chicago, IL e e e e e e e e",100.0,2013
"Sodexo Inc. Gaithersburg, MD e e e e e e e e",100.0,2013
"Sony Pictures Entertainment Inc. Culver City, CA e e e e e e e e",100.0,2013
"Southern California Edison Co. Rosemead, CA e e e e e e e e",100.0,2013
"Sprint Nextel Corp. Overland Park, KS e e e e e e e e 100",85.0,2013
"Starcom MediaVest Group Chicago, IL e e e e e e e e",100.0,2013
"Stoel Rives LLP Portland, OR e e e e e e e e",100.0,2013
"Supervalu Inc. Eden Prairie, MN e e e e e e e e 100",61.0,2013
"Sutherland Asbill Brennan LLP Atlanta, GA e e e e e e e e",100.0,2013
"Target Corp. Minneapolis, MN e e e e e e e e 100",33.0,2013
"TD Bank, N.A. Wilmington , DE e e e e e e e e",100.0,2013
"Teachers Insurance Annuity Assn. - College Retirement Equities Fund New York, NY e e e e e e e e 100",87.0,2013
"Thompson Coburn LLP Saint Louis, MO e e e e e e e e",100.0,2013
"Thompson Hine LLP Cleveland, OH e e e e e e e e",100.0,2013
"Time Warner Inc. New York, NY e e e : e : e : e e e 100",95.0,2013
"Toyota Financial Services Torrance, CA e e e e e e e e",100.0,2013
"Toyota Motor Sales USA Inc. Torrance, CA e e e e e e e e",100.0,2013
"Troutman Sanders LLP Atlanta, GA e e e e e e e e",100.0,2013
"United Technologies Corp. Hartford, CT e e e e e e e e 100",44.0,2013
"UnitedHealth Group Inc. Minnetonka, MN e e e e e e e e 100",22.0,2013
"Volkswagen Group of America Inc. Herndon, VA e e e e e e e e",100.0,2013
"Walgreen Co. Deerfield, IL e e e e e e e e 100",32.0,2013
"Wells Fargo Co. San Francisco, CA e e e e e e e e 100",23.0,2013
"White Case LLP New York, NY e e e e e e e e",100.0,2013
"Wilmer Cutler Pickering Hale Dorr LLP Washington, DC e e e e e e e e",100.0,2013
"Winston Strawn LLP Chicago, IL e e e e e e e e",100.0,2013
"3M Co. St. Paul, MN  ee  100",97.0,2013
"Accenture Ltd. New York, NY e e e e e e e e",100.0,2013
"Acer Inc. Irvine, CA e e i}",35.0,2013
"AEGON USA Inc. Cedar Rapids, IA e »",20.0,2013
"Ahold USA Inc. Quincy, MA e e e » >",55.0,2013
"Allianz Life Insurance Co. of North America Minneapolis, MN e e e » e",60.0,2013
"Allscripts-Misys Healthcare Solutions Inc. Chicago, IL e » > d",30.0,2013
"AmerisourceBergen Corp. Chesterbrook, PA 55",27.0,2013
"Andrews Kurth LLP Houston, TX e e e e e e e",90.0,2013
"Anheuser-Busch Companies Inc. St. Louis, MO e e e e e e e",90.0,2013
"Archer Daniels Midland Co. Decatur, IL 35",39.0,2013
"Arent Fox LLP Washington, DC e e e » e e e",85.0,2013
"Astellas Pharma US, Inc. Deerfield, IL e e » e i} }",55.0,2013
"Baker Daniels LLP Indianapolis, IN e e e e e e e",90.0,2013
"Baldor Electric Co. Fort Smith, AR e » : : »",25.0,2013
"Ballard Spahr LLP Philadelphia, PA e e e e e e e",90.0,2013
"Bausch Lomb Inc. Rochester, NY e e e » e e i}",75.0,2013
"Bayer Corp. Pittsburgh, PA e e e e e e",80.0,2013
"Berkshire Hathaway Inc. Omaha, NE 0",7.0,2013
"Bingham McCutchen LLP Boston, MA e e e e e e e e",100.0,2013
"Boeing Co. Chicago, IL e e e » e e e 85",36.0,2013
"BP America Inc. Houston, TX e e e e e e e",90.0,2013
"Bracewell Giuliani Houston, TX e e e e e",60.0,2013
