Company,CEI_Score,Year,cusip,firm_name,fuzzy_match_score
prohibitions etc From present company would contacted and potentially receive,25.0,2015,,,0
Employer Headquarters Location — 1a 1b 2a 2b 2c 3a 3b,2.0,2015,,,0
Kearney Inc Chicago,100.0,2015,,,0
Aetna Inc Hartford,84.0,2015,,,0
Akerman LLP Miami,100.0,2015,,,0
Akin Gump Strauss Hauer Feld LLP Washington,100.0,2015,,,0
Alston Bird LLP Atlanta,100.0,2015,,,0
American Express New York,90.0,2015,,,0
Anheuser Busch Companies Inc Louis,90.0,2015,,,0
Aon Corp Chicago,100.0,2015,,,0
Apple Inc Cupertino,6.0,2015,,,0
Arent Fox LLP Washington,100.0,2015,,,0
Arnold Porter LLP Washington,100.0,2015,,,0
Astellas Pharma Inc Northbrook,55.0,2015,,,0
ATT Inc Dallas,11.0,2015,,,0
Bain Inc / Bridgespan Group Boston,100.0,2015,,,0
Baker McKenzie LLP Chicago,100.0,2015,,,0
Bank America Corp Charlotte,21.0,2015,,,0
Barilla America Inc Bannockburn,100.0,2015,,,0
BASF Corp Florham Park,100.0,2015,,,0
Best Buy Inc Richfield,100.0,2015,,,0
Bingham McCutchen LLP Boston,100.0,2015,,,0
Blue Cross Blue Shield Rhode Island Providence,100.0,2015,,,0
Blue Cross Blue Shield Florida Inc Jacksonville,100.0,2015,,,0
BMO Bankcorp Inc Chicago,100.0,2015,,,0
Boehringer Ingelheim USA Corp Ridgefield,100.0,2015,,,0
Boston Consulting Group Boston,100.0,2015,,,0
Brown Rudnick LLP Boston,100.0,2015,,,0
Bryan Cave LLP Saint Louis,100.0,2015,,,0
Cadwalader Wickersham Taft LLP New York,100.0,2015,,,0
Capital Markets Company The New York,100.0,2015,,,0
Cardinal Health Inc Dublin,19.0,2015,,,0
Cargill Inc Wayzata,100.0,2015,,,0
Chapman and Cutler LLP Chicago,100.0,2015,,,0
Chevron Corp San Ramon,3.0,2015,,,0
Choate Hall Stewart LLP Boston,100.0,2015,,,0
Choice Hotels International Inc Rockville,100.0,2015,,,0
Citigroup Inc New York,26.0,2015,,,0
Cleary Gottlieb Steen Hamilton LLP New York,100.0,2015,,,0
Clifford Chance LLP New York,100.0,2015,,,0
Coca Cola The Atlanta,57.0,2015,,,0
Comcast Corp Philadelphia,46.0,2015,,,0
Covington Burling LLP Washington,100.0,2015,,,0
Crowell Moring LLP Washington,100.0,2015,,,0
CSAA Insurance Group Walnut Creek,100.0,2015,,,0
