employer,cei_score,year,cusip,release_date
"AIG (American International Group), New York, NY",29.0,2002,22673Q102,2002-08-13
"Advanced Digital Information Corp., Redmond, WA",29.0,2002,007525108,2002-08-13
"American President Lines Ltd., Oakland, CA",43.0,2002,00202M107,2002-08-13
"Archer Daniels Midland Co., Chicago, IL",29.0,2002,039483102,2002-08-13
"Automatic Data Processing Inc., Roseland, NJ",29.0,2002,053015103,2002-08-13
"CBRL Group Inc. (Cracker Barrel restaurants), Lebanon, TN",0.0,2002,22410J106,2002-08-13
"Delphi Automotive, Troy, MI",71.0,2002,247128101,2002-08-13
"Electronic Data Systems Corp., Plano, TX",57.0,2002,285661104,2002-08-13
"Franklin Templeton Investments, San Mateo, CA",29.0,2002,35472T100,2002-08-13
"IBM (International Business Machines Corp.), Armonk, NY",86.0,2002,459200101,2002-08-13
"John Hancock Financial Services Inc., Boston, MA",86.0,2002,41014S106,2002-08-13
"MetLife (Metropolitan Life Insurance), New York, NY",71.0,2002,59156R108,2002-08-13
"Minnesota Mining and Manufacturing (3M), St. Paul, MN",57.0,2002,88579Y101,2002-08-13
"Nextel Communications, Reston, VA",57.0,2002,65332V103,2002-08-13
"Northwest Airlines Corp., Eagan, MN",71.0,2002,667280408,2002-08-13
"Qwest Communications International Inc., Denver, CO",86.0,2002,749121109,2002-08-13
"Rockwell Collins - Passenger Systems, Pomona, CA",43.0,2002,774341101,2002-08-13
"The May Department Stores Co., St. Louis, MO",29.0,2002,577778103,2002-08-13
"True North Communications Inc., Chicago, IL",43.0,2002,897844106,2002-08-13
"United Parcel Service Inc. (UPS), Atlanta, GA",29.0,2002,911312106,2002-08-13
"Washington Mutual Savings Bank, Seattle, WA",86.0,2002,939334100,2002-08-13
"3M (Minnesota Mining and Manufacturing), St. Paul, MN",71.0,2003,88579Y101,2003-08-28
"AIG (American International Group), New York, NY",29.0,2003,22673Q102,2003-08-28
"Advanced Digital Information Corp., Redmond, WA",29.0,2003,007525108,2003-08-28
"Altria Group Inc. (Philip Morris Companies Inc.), New York, NY",57.0,2003,02209S103,2003-08-28
"American President Lines Ltd., Oakland, CA",43.0,2003,00202M107,2003-08-28
"Archer Daniels Midland Co., Chicago, IL",29.0,2003,039483102,2003-08-28
"Automatic Data Processing Inc., Roseland, NJ",29.0,2003,053015103,2003-08-28
"Bridgestone Americas Holding Inc. (Firestone), Nashville, TN",57.0,2003,318315108,2003-08-28
"Coca-Cola (The Coca-Cola Co.), Atlanta, GA",71.0,2003,191216100,2003-08-28
