Year,Image_Source,Text_Source,Original_CEI_Dates,Consolidated_Dates
2002,,2002-08-13,,2002-08-13
2003,2003-08-25,2003-08-28,,2003-08-28
2004,2004-09-01,2004-09-02,,2004-09-02
2005,2005-09-01,2005-09-20,,2005-09-20
2006,2006-09-01,2006-09-19,,2006-09-19
2007,2007-09-17,2007-09-17,,2007-09-17
2008,2008-09-02,2008-09-08,2008-09-02,2008-09-08
2009,2009-09-16,2009-09-14,2009-09-16,2009-09-14
2010,2010-01-25,2010-01-25,2010-09-02,2010-01-25
2011,2011-12-01,2011-12-01,2011-09-29,2011-12-01
2012,2012-12-20,2012-12-20,2012-12-17,2012-12-20
2013,2013-12-11,2013-12-11,2012-12-20,2013-12-11
2014,2014-11-19,2014-11-21,2013-12-11,2014-11-21
2015,2015-11-18,2015-11-18,2014-11-19,2015-11-18
2016,2016-12-06,2016-12-05,2015-11-18,2016-12-05
2017,2017-11-09,2017-11-09,2016-12-06,2017-11-09
2018,2018-11-15,2019-03-28,2017-11-09,2019-03-28
2019,2019-01-21,2020-01-21,2018-11-15,2020-01-21
2020,,2021-01-28,2020-01-21,2021-01-28
2021,,2022-01-27,2021-01-28,2022-01-27
2022,,,2022-01-27,
2023,,,2023-11-30,
2024,,,2024-01-07,
2025,,,2025-01-07,
